X,Y,X,Y,NRO,RAMO_O_C,TIPO,DATOS,IMAGEN,NROCOMP,CANAL,CODIGOCOMP,RAMO,CALLE,CANAL_PPAL,OBSERVACIO,icon_url
-68.362386,-31.786696,"2560466","6483800","0",Desde Canal 3ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\tercera seccion\000_0097.gif,,,"0",,Calle 8,Canal 3ra. Seccion,Toma desde Canal Tercera Seccion,
-68.348992,-31.789018,"2561749","6483525","0",Desde Canal 3ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\tercera seccion\000_0100.gif,,,"0",,Calle 8,Canal 3ra. Seccion,,
-68.342221,-31.790201,"2562387","6483395","0",Desde Canal 3ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\tercera seccion\000_0101.gif,,,"0",,Calle 8,Canal 3ra. Seccion,,
-68.335769,-31.791274,"2562989","6483263","0",Desde Canal 3ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\tercera seccion\000_0102.gif,,,"0",,Calle 8,Canal 3ra. Seccion,,
-68.32248,-31.793569,"2564258","6483004","0",Desde Canal 3ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\tercera seccion\000_0103.gif,,,"0",,Calle 8,Canal 3ra. Seccion,Inicio Ramo Calle 19,
-68.315742,-31.794716,"2564887","6482868","0",Desde Canal 3ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\tercera seccion\000_0104.gif,,,"0",,Calle 8,Canal 3ra. Seccion,,
-68.309196,-31.795841,"2565503","6482742","0",Desde Canal 3ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\tercera seccion\000_0105.gif,,,"0",,Calle 8,Canal 3ra. Seccion,Inicio Ramo Calle 22,
-68.296509,-31.798007,"2566735","6482478","0",Desde Canal 3ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\tercera seccion\000_0107.gif,,,"0",,Calle 8,Canal 3ra. Seccion,Descargador al Dren Calle 21,
-68.282281,-31.800432,"2568021","6482216","0",Desde Canal 3ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\tercera seccion\000_0109.gif,,,"0",,Calle 8,Canal 3ra. Seccion,,
-68.282291,-31.800432,"2568020","6482216","0",Desde Canal 3ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\tercera seccion\000_0110.gif,,,"0",,Calle 8,Canal 3ra. Seccion,Fin Canal 3 era Seccion,
-68.351696,-31.741428,"2561502","6488822","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0291.gif,,"58","0",,Calle 4,Canal Gral. 25 de M,Toma sobre Canal General Primera Seccion,
-68.351411,-31.741495,"2561523","6488809","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0095.gif,,,"0",,Calle 4,Canal 2da. Seccion,,
-68.345207,-31.742591,"2562136","6488676","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0094.gif,,,"0",,Calle 4,Canal 2da. Seccion,,
-68.339332,-31.74357,"2562692","6488564","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0093.gif,,,"0",,Calle 4,Canal 2da. Seccion,,
-68.338371,-31.74371,"2562783","6488548","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0092.gif,,,"0",,Calle 4,Canal 2da. Seccion,Inicio Ramo Calle 17,
-68.335549,-31.744263,"2563050","6488485","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0091.gif,,,"0",,Calle 4,Canal 2da. Seccion,,
-68.3251,-31.745985,"2564039","6488288","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0090.gif,,,"0",,Calle 4,Canal 2da. Seccion,,
-68.324264,-31.746269,"2564118","6488256","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0089.gif,,,"0",,Calle 4,Canal 2da. Seccion,,
-68.319583,-31.746984,"2564561","6488174","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0088.gif,,,"0",,Calle 4,Canal 2da. Seccion,Abastece a OSSE,
-68.311589,-31.748345,"2565336","6488014","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0153.jpg,,,"0",,Calle 4,Canal 2da. Seccion,Manguera,
